HEALTH_PROTOCOL_TYPE_IDENT,ALARM_PROTOCOL_CODE,ALARM_PROTOCOL_IDENT,DESCRIPTION,LOCALIZED_DESCRIPTION,SEVERITY,ACTIVE,NAME,EXPRESSION,SEVERITY_LEVEL,CREATED_TIMESTAMP,CREATED_LOGIN_NAME,LAST_UPDATED_TIMESTAMP,LAST_UPDATED_LOGIN_NAME,ALIAS,MUTE,IGNORE_ALARM_RULE,CAN_MERGE_ALARM,MERGE_ALARM_TIME,HAS_MIN_DURATION,MIN_DURATION,IGNORE_ALARM_RULE_SEVERITIES,CAN_FILTER_VIRTUAL_ALARM,FILTER_VIRTUAL_ALARM_TIME
05EAAC07-2A3D-4E72-913A-7ACA936B9455,36678,10001,High Coolant Temp (Left Engine),NULL,A,Y,High Coolant Temp (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,43985,10002,Coolant Temp Ckt Failed High (Left),NULL,W,Y,Coolant Temp Ckt Failed High (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,43986,10003,Coolant Temp Ckt Failed Low(Left Engine),NULL,W,Y,Coolant Temp Ckt Failed Low(Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,43998,10004,Coolant Temp Above Normal (Left Engine),NULL,W,Y,Coolant Temp Above Normal (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44013,10005,Low Coolant Level (Left Engine),NULL,A,Y,Low Coolant Level (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44015,10006,Coolant Level Ckt Failed High (Left),NULL,W,Y,Coolant Level Ckt Failed High (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44016,10007,Coolant Level Ckt Failed Low (Left),NULL,W,Y,Coolant Level Ckt Failed Low (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44030,10008,Coolant Level Below Normal (Left Engine),NULL,W,Y,Coolant Level Below Normal (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44044,10009,Very Low Coolant Pressure (Left Engine),NULL,A,Y,Very Low Coolant Pressure (Left Engine),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
05EAAC07-2A3D-4E72-913A-7ACA936B9455,44046,10010,Coolant Press Ckt Failed High (Left),NULL,W,Y,Coolant Press Ckt Failed High (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
