EQUIP_IDENT,SITE_IDENT,10368000.00,CREATED,TIME_IN_RFC3339,ALARM_PROTOCOL_IDENT,ACTIVE,HEALTH_PROTOCOL_TYPE_IDENT
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567571018609000000.00,1577939019,2020-01-02 04:23:39,10001,1,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567571182938000000.00,1577939183,2020-01-02 04:26:23,10002,1,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567573857499000000.00,1577941857,2020-01-02 05:10:57,10003,1,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567573984651000000.00,1577941985,2020-01-02 05:13:05,10004,1,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567583745394000000.00,1577951745,2020-01-02 07:55:45,10005,1,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567585029460000000.00,1577953029,2020-01-02 08:17:09,10006,1,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567595743215000000.00,1577963743,2020-01-02 11:15:43,10007,1,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567595747932000000.00,1577963748,2020-01-02 11:15:48,10008,1,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567595780668000000.00,1577963781,2020-01-02 11:16:21,10009,1,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567595790722000000.00,1577963791,2020-01-02 11:16:31,10001,0,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567595829808000000.00,1577963830,2020-01-02 11:17:10,10002,0,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567595830011000000.00,1577963830,2020-01-02 11:17:10,10003,0,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567596043041000000.00,1577964043,2020-01-02 11:20:43,10004,0,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567596453733000000.00,1577964454,2020-01-02 11:27:34,10005,0,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567603526483000000.00,1577971526,2020-01-02 13:25:26,10006,0,05EAAC07-2A3D-4E72-913A-7ACA936B9455
1CF1CFD0-3EEF-48EC-8192-94F527B4E6AD,7509c107-ce13-498e-9ae4-755549491604,1567603760278000000.00,1577971760,2020-01-02 13:29:20,10007,0,05EAAC07-2A3D-4E72-913A-7ACA936B9455
