HEALTH_PROTOCOL_TYPE_IDENT,HEALTH_PROTOCOL_TYPE,PROTOCOL_VERSION,DESCRIPTION,LOCALIZED_DESCRIPTION,USE_KEYSWITCH_FILTER
121,HCM EX1900-6,EX-6,HCM EX1900-6 Gas Engine Drive,NULL,N
122,HCM EX2600-6,EX-6,HCM EX2600-6 Gas Engine Drive,NULL,N
124,HCM EX1900E-6,EX-6E,HCM EX1900E-6 Electric Motor Drive,NULL,N
125,HCM EX2600E-6,EX-6E,HCM EX2600E-6 Electric Motor Drive,NULL,N
126,HCM EX3600E-6,EX-6E,HCM EX3600E-6 Electric Motor Drive,NULL,N
127,HCM EX5600E-6,EX-6E,HCM EX5600E-6 Electric Motor Drive,NULL,N
128,HCM EX8000E-6,EX-6E,HCM EX8000E-6 Electric Motor Drive,NULL,N
129,HCM EX2500E-6,EX-6E,HCM EX2500E-6 Electric Motor Drive,NULL,N
160,HCM EX1200-5D,EX1200-5D,HCM EX1200-5D,NULL,N
161,HCM EX1200-6,EX1200-6,HCM EX1200-6,NULL,N
190,HCM EH3500-CMS,EH-AC3,HCM EH3500 AC3 Cummins Engine,NULL,N
191,HCM EH3500-MTU,EH-AC3,HCM EH3500 AC3 MTU Engine,NULL,N
192,HCM EH4000-CMS,EH-AC3,HCM EH4000 AC3 Cummins Engine,NULL,N
193,HCM EH4000-MTU,EH-AC3,HCM EH4000 AC3 MTU Engine,NULL,N
194,HCM EH5000-CMS,EH-AC3,HCM EH5000 AC3 Cummins Engine,NULL,N
195,HCM EH5000-MTU,EH-AC3,HCM EH5000 AC3 MTU Engine,NULL,N
196,HCM EH4000,EH-ACII,HCM EH4000 ACII,NULL,N
197,HCM EH3500,EH-ACII,HCM EH3500 ACII,NULL,N
