SENSOR_PROTOCOL_IDENT,HEALTH_PROTOCOL_TYPE_IDENT,SENSOR_PROTOCOL_CODE,DESCRIPTION,LOCALIZED_DESCRIPTION,DATA_TYPE,UOM_CODE,ACTIVE,BITLENGTH,SLOPE,OFFSET,NAME,EXPRESSION,KALMAN_Q,KALMAN_R,APPLY_FILTER,CREATED_TIMESTAMP,CREATED_LOGIN_NAME,LAST_UPDATED_TIMESTAMP,LAST_UPDATED_LOGIN_NAME,ALIAS,GROUP,ACCESS
1,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00044,Ambient Air Temperature,NULL,?,C,Y,8,1,-40,AmbientTemp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00035,Battery voltage,NULL,?,VOLTS,Y,16,1,0,Battery voltage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN07000,Hydraulic Oil Tank Temperature,NULL,?,C,Y,8,1,-40,HydOilTankTemp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN15039,Fuel Level Gauge,NULL,?,STATE,Y,8,1,0,FuelGauge,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00006,Engine Coolant Temperature of Left Engine,NULL,?,C,Y,8,1,-40,CoolantWaterTemp (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00021,Intake Manifold Temperature 1 of Left Engine,NULL,?,C,Y,8,1,-40,AfterCoolerTemp 1(Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00022,Intake Manifold Temperature 2 of Left Engine,NULL,?,C,Y,8,1,-40,AfterCoolerTemp 2(Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00231,Intake Manifold Temperature 3 of Left Engine,NULL,?,C,Y,8,1,-40,AfterCoolerTemp 3(Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00232,Intake Manifold Temperature 4 of Left Engine,NULL,?,C,Y,8,1,-40,AfterCoolerTemp 4(Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,05EAAC07-2A3D-4E72-913A-7ACA936B9455,SPN00011,Engine Oil Pressure of Left Engine,NULL,?,KPA,Y,8,1,0,EngOilPress (Left),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
